"Time","All machines","machine69","machine70","machine77"
2024-06-14 15:53:15,202313,72984,63433,64532
2024-06-14 15:53:30,209054,75864,69419,68222
2024-06-14 15:53:45,217605,74367,72033,71968
2024-06-14 15:54:00,219299,75515,71002,70619
2024-06-14 15:54:15,219966,78735,71471,71339
2024-06-14 15:54:30,220696,80175,70158,70447
2024-06-14 15:54:45,614178,277464,98040,85254
2024-06-14 15:55:00,1566929,653009,488807,460523
2024-06-14 15:55:15,2870254,1371337,685265,658274
2024-06-14 15:55:30,3772015,1720487,1028879,1019867
2024-06-14 15:55:45,3992261,1903979,1043979,1043379
2024-06-14 15:56:00,3960294,1896252,1032287,1033588
2024-06-14 15:56:15,3914819,1886469,1017896,1021570
2024-06-14 15:56:30,3897138,1884465,1007407,1008121
2024-06-14 15:56:45,3869366,1862388,1002343,1000108
2024-06-14 15:57:00,3884902,1882825,1013091,1012642
2024-06-14 15:57:15,3920641,1871077,1025938,1024017
2024-06-14 15:57:30,3932689,1875596,1022845,1024194
2024-06-14 15:57:45,3939728,1886456,1028320,1028517
2024-06-14 15:58:00,3934920,1879061,1023571,1024217
2024-06-14 15:58:15,3923718,1887640,1020751,1020645
2024-06-14 15:58:30,3915903,1879171,1014912,1016349
2024-06-14 15:58:45,3605893,1726583,1000845,1004479
2024-06-14 15:59:00,2756968,1366963,634174,654343
2024-06-14 15:59:15,1407425,646219,448866,469738
2024-06-14 15:59:30,572248,293966,77321,93704
2024-06-14 15:59:45,203038,75253,64027,64252
2024-06-14 16:00:00,204899,77147,65284,65120
