"Time","machine69","machine70","Total","machine77"
2024-06-14 17:45:00,245,295,838,297
2024-06-14 17:45:15,275,299,918,295
2024-06-14 17:45:30,319,404,1075,396
2024-06-14 17:45:45,423,457,1371,453
2024-06-14 17:46:00,480,526,1514,525
2024-06-14 17:46:15,545,540,1613,537
2024-06-14 17:46:30,507,520,1544,520
2024-06-14 17:46:45,581,530,1654,530
2024-06-14 17:47:00,581,530,1650,534
2024-06-14 17:47:15,574,543,1664,544
2024-06-14 17:47:30,581,551,1678,552
2024-06-14 17:47:45,557,546,1635,545
2024-06-14 17:48:00,555,542,1643,541
2024-06-14 17:48:15,552,547,1645,548
2024-06-14 17:48:30,548,542,1631,542
2024-06-14 17:48:45,523,526,1566,531
2024-06-14 17:49:00,506,529,1546,529
2024-06-14 17:49:15,458,542,1508,546
2024-06-14 17:49:30,406,481,1361,489
2024-06-14 17:49:45,310,439,1155,446
2024-06-14 17:50:00,275,343,1005,342
2024-06-14 17:50:15,273,362,1001,363
2024-06-14 17:50:30,264,370,998,372
2024-06-14 17:50:45,258,363,987,363
2024-06-14 17:51:00,258,336,957,336
