"Time","All machines","machine69","machine70","machine77"
2024-06-14 17:45:00,276510,92736,90049,89972
2024-06-14 17:45:15,740155,358887,132638,113593
2024-06-14 17:45:30,1447645,738003,395346,380079
2024-06-14 17:45:45,2622995,1458363,528777,515791
2024-06-14 17:46:00,3348948,1843846,752396,751966
2024-06-14 17:46:15,3474000,1963255,756153,753915
2024-06-14 17:46:30,3353468,1772425,749719,751950
2024-06-14 17:46:45,3388681,1918714,739946,742261
2024-06-14 17:47:00,3386122,1909198,736348,737585
2024-06-14 17:47:15,3327304,1850557,735066,736887
2024-06-14 17:47:30,3356042,1873675,738028,737031
2024-06-14 17:47:45,3255259,1785769,737676,737754
2024-06-14 17:48:00,3253671,1788543,734616,733950
2024-06-14 17:48:15,3249052,1775778,736513,737417
2024-06-14 17:48:30,3238189,1773875,731105,731530
2024-06-14 17:48:45,3238691,1774679,731263,732102
2024-06-14 17:49:00,3215682,1787450,727097,727968
2024-06-14 17:49:15,2923570,1622873,713020,723606
2024-06-14 17:49:30,2227429,1274244,451507,472869
2024-06-14 17:49:45,1123064,587358,323693,343906
2024-06-14 17:50:00,463121,246524,83535,85461
2024-06-14 17:50:15,236304,75746,81590,80809
2024-06-14 17:50:30,239537,72633,81299,81448
2024-06-14 17:50:45,244787,75092,84820,84123
2024-06-14 17:51:00,249887,74980,85930,86491
