"Time","Total","Peers","Orderers","Couchdb"
2024-06-14 17:45:00,12708226802,1359115177,1359114726,906078027
2024-06-14 17:45:15,12708373280,1359129872,1359129192,906089313
2024-06-14 17:45:30,12708478477,1359139311,1359136425,906095959
2024-06-14 17:45:45,12708658170,1359152533,1359151156,906112183
2024-06-14 17:46:00,12708731368,1359156941,1359154608,906117271
2024-06-14 17:46:15,12708940485,1359173390,1359175140,906134766
2024-06-14 17:46:30,12709050004,1359184418,1359181107,906143486
2024-06-14 17:46:45,12709166362,1359190476,1359188590,906154142
2024-06-14 17:47:00,12709300078,1359202104,1359197995,906164784
2024-06-14 17:47:15,12709424461,1359210144,1359207825,906175389
2024-06-14 17:47:30,12709510491,1359218164,1359215159,906183984
2024-06-14 17:47:45,12709758440,1359237735,1359235101,906202338
2024-06-14 17:48:00,12709834477,1359242903,1359240625,906208991
2024-06-14 17:48:15,12710015409,1359257078,1359254111,906223227
2024-06-14 17:48:30,12710090882,1359261864,1359258617,906228665
2024-06-14 17:48:45,12710186543,1359267270,1359263986,906238154
2024-06-14 17:49:00,12710397137,1359287562,1359283814,906253952
2024-06-14 17:49:15,12710509205,1359295044,1359291176,906263315
2024-06-14 17:49:30,12710546097,1359299816,1359292388,906267871
2024-06-14 17:49:45,12710672079,1359312091,1359308525,906274874
2024-06-14 17:50:00,12710693547,1359314268,1359310671,906276235
2024-06-14 17:50:15,12710826245,1359329177,1359325553,906286242
2024-06-14 17:50:30,12710912117,1359337996,1359334286,906292211
2024-06-14 17:50:45,12710983547,1359345215,1359341666,906296983
2024-06-14 17:51:00,12711064244,1359354098,1359350752,906302521
