"Time","machine69","machine70","Total"
2024-04-17 21:59:15,3.10,2.60,5.92
2024-04-17 21:59:30,3.11,3.35,7.34
2024-04-17 21:59:45,3.07,3.32,7.77
2024-04-17 22:00:00,2.93,3.19,7.98
2024-04-17 22:00:15,2.82,4.69,9.20
2024-04-17 22:00:30,20.4,23.2,55.0
2024-04-17 22:00:45,43.4,42.2,113
2024-04-17 22:01:00,64.3,60.5,167
2024-04-17 22:01:15,83.7,74.1,213
2024-04-17 22:01:30,85.3,75.4,216
2024-04-17 22:01:45,86.1,73.5,217
2024-04-17 22:02:00,87.9,75.3,219
2024-04-17 22:02:15,87.1,71.8,214
2024-04-17 22:02:30,87.2,73.7,213
2024-04-17 22:02:45,87.4,74.4,215
2024-04-17 22:03:00,86.8,76.2,215
2024-04-17 22:03:15,87.0,79.8,220
2024-04-17 22:03:30,86.8,80.9,221
2024-04-17 22:03:45,87.4,81.8,225
2024-04-17 22:04:00,88.4,82.7,228
2024-04-17 22:04:15,88.2,80.6,224
