"Time","All machines","machine69","machine70"
2024-04-17 22:01:30,26908632,20946980,5891792
2024-04-17 22:01:45,26908632,20946980,5891792
2024-04-17 22:02:00,26908632,20946980,5891792
2024-04-17 22:02:15,26908632,20946980,5891792
2024-04-17 22:02:30,26908632,20946980,5891792
2024-04-17 22:02:45,26908632,20946980,5891792
2024-04-17 22:03:00,26908632,20946980,5891792
2024-04-17 22:03:15,26908633,20946981,5891792
2024-04-17 22:03:30,26908633,20946981,5891792
2024-04-17 22:03:45,26908643,20946991,5891792
2024-04-17 22:04:00,26908644,20946992,5891792
2024-04-17 22:04:15,26908744,20947092,5891792
2024-04-17 22:04:30,26908876,20947224,5891792
2024-04-17 22:04:45,26908876,20947224,5891792
2024-04-17 22:05:00,26908940,20947288,5891792
2024-04-17 22:05:15,26908960,20947308,5891792
2024-04-17 22:05:30,26908992,20947340,5891792
2024-04-17 22:05:45,26908992,20947340,5891792
2024-04-17 22:06:00,26908992,20947340,5891792
2024-04-17 22:06:15,26908992,20947340,5891792
2024-04-17 22:06:30,26909012,20947360,5891792
