"Time","All machines","machine69","machine70"
2024-04-17 21:58:45,0,0,0
2024-04-17 21:59:00,0,0,0
2024-04-17 21:59:15,0,0,0
2024-04-17 21:59:30,4.35,4.39,0
2024-04-17 21:59:45,8.63,8.77,0
2024-04-17 22:00:00,8.73,8.76,0
2024-04-17 22:00:15,4.35,4.34,0
2024-04-17 22:00:30,4.40,4.41,0
2024-04-17 22:00:45,0,0,0
2024-04-17 22:01:00,0,0,0
2024-04-17 22:01:15,0,0,0
2024-04-17 22:01:30,1.10,1.10,0
2024-04-17 22:01:45,1.09,1.09,0
2024-04-17 22:02:00,1.11,1.08,0
2024-04-17 22:02:15,1.08,1.11,0
2024-04-17 22:02:30,0,0,0
2024-04-17 22:02:45,0,0,0
2024-04-17 22:03:00,0,0,0
2024-04-17 22:03:15,1.11,1.08,0
2024-04-17 22:03:30,1.06,1.10,0
2024-04-17 22:03:45,12.0,12.0,0
2024-04-17 22:04:00,11.9,11.9,0
2024-04-17 22:04:15,121,121,0
