"Time","All machines","machine69","machine70"
2024-04-18 11:07:00,3.23,3.14,0
2024-04-18 11:07:15,4.28,4.31,0
2024-04-18 11:07:30,4.28,4.32,0
2024-04-18 11:07:45,4.25,4.16,0
2024-04-18 11:08:00,0,0,0
2024-04-18 11:08:15,0,0,0
2024-04-18 11:08:30,0,0,0
2024-04-18 11:08:45,4.23,1.07,0
2024-04-18 11:09:00,7.31,1.07,4.05
2024-04-18 11:09:15,7.35,1.07,4.02
2024-04-18 11:09:30,11.5,1.11,6.07
2024-04-18 11:09:45,9.62,1.08,8.13
2024-04-18 11:10:00,8.34,1.06,14.2
2024-04-18 11:10:15,7.39,0,14.3
2024-04-18 11:10:30,7.30,2.16,12.3
2024-04-18 11:10:45,7.36,3.19,11.1
2024-04-18 11:11:00,6.29,3.19,2.01
2024-04-18 11:11:15,5.25,4.29,4.14
2024-04-18 11:11:30,5.28,4.34,5.05
2024-04-18 11:11:45,6.34,3.22,4.06
2024-04-18 11:12:00,6.34,2.15,3.01
