"Time","All machines","machine69","machine70"
2024-04-18 11:07:00,9115,5722,3274
2024-04-18 11:07:15,12123,5816,4516
2024-04-18 11:07:30,14062,5990,4520
2024-04-18 11:07:45,15142,5811,4397
2024-04-18 11:08:00,16586,5717,4914
2024-04-18 11:08:15,80769,36421,26771
2024-04-18 11:08:30,155842,73704,47715
2024-04-18 11:08:45,227591,114425,65202
2024-04-18 11:09:00,280934,142294,81647
2024-04-18 11:09:15,277208,140681,80875
2024-04-18 11:09:30,276332,140018,79812
2024-04-18 11:09:45,276250,139983,80520
2024-04-18 11:10:00,276162,139994,81229
2024-04-18 11:10:15,277115,140150,81109
2024-04-18 11:10:30,276515,140011,81397
2024-04-18 11:10:45,277170,139926,81532
2024-04-18 11:11:00,277477,141030,81677
2024-04-18 11:11:15,276704,141392,79444
2024-04-18 11:11:30,278291,142910,82279
2024-04-18 11:11:45,279921,142157,82256
2024-04-18 11:12:00,278177,141569,81987
