"Time","orderers","peers","Total"
2024-04-18 11:07:00,0.0771,0.318,0.395
2024-04-18 11:07:15,0.0776,0.320,0.398
2024-04-18 11:07:30,0.0781,0.320,0.398
2024-04-18 11:07:45,0.0784,0.321,0.399
2024-04-18 11:08:00,0.0793,0.323,0.403
2024-04-18 11:08:15,0.140,0.346,0.487
2024-04-18 11:08:30,0.212,0.367,0.578
2024-04-18 11:08:45,0.270,0.385,0.654
2024-04-18 11:09:00,0.271,0.409,0.680
2024-04-18 11:09:15,0.329,0.423,0.752
2024-04-18 11:09:30,0.404,0.440,0.844
2024-04-18 11:09:45,0.354,0.462,0.816
2024-04-18 11:10:00,0.415,0.476,0.891
2024-04-18 11:10:15,0.482,0.501,0.982
2024-04-18 11:10:30,0.453,0.516,0.969
2024-04-18 11:10:45,0.513,0.534,1.05
2024-04-18 11:11:00,0.555,0.551,1.11
2024-04-18 11:11:15,0.565,0.566,1.13
2024-04-18 11:11:30,0.622,0.573,1.19
2024-04-18 11:11:45,0.601,0.596,1.20
2024-04-18 11:12:00,0.651,0.614,1.27
