"Time","Total","Peers","Orderers","Couchsdb"
2024-04-18 11:07:00,3.23,1.06,1.08,1.08
2024-04-18 11:07:15,4.28,2.15,1.06,1.07
2024-04-18 11:07:30,4.28,2.14,1.08,1.06
2024-04-18 11:07:45,4.25,2.13,1.06,1.06
2024-04-18 11:08:00,0,0,0,0
2024-04-18 11:08:15,0,0,0,0
2024-04-18 11:08:30,0,0,0,0
2024-04-18 11:08:45,4.23,1.07,0,3.16
2024-04-18 11:09:00,7.31,2.10,1.03,4.18
2024-04-18 11:09:15,7.35,2.12,1.03,4.21
2024-04-18 11:09:30,11.5,4.13,1.04,6.31
2024-04-18 11:09:45,9.62,4.16,1.03,4.42
2024-04-18 11:10:00,8.34,3.14,1.09,4.11
2024-04-18 11:10:15,7.39,3.08,2.11,2.20
2024-04-18 11:10:30,7.30,2.08,2.05,3.17
2024-04-18 11:10:45,7.36,2.09,3.16,2.11
2024-04-18 11:11:00,6.29,2.09,2.09,2.11
2024-04-18 11:11:15,5.25,2.09,1.06,2.09
2024-04-18 11:11:30,5.28,1.07,2.11,2.09
2024-04-18 11:11:45,6.34,2.11,2.10,2.12
2024-04-18 11:12:00,6.34,1.03,3.19,2.12
