"Time","Total","Peers","Orderers"
2024-04-17 22:21:00,0.0982,0.0899,0.00828
2024-04-17 22:21:15,0.0704,0.0690,0.00136
2024-04-17 22:21:30,0.000664,0.000343,0.000320
2024-04-17 22:21:45,0.000664,0.000343,0.000320
2024-04-17 22:22:00,0.000664,0.000343,0.000320
2024-04-17 22:22:15,0.000664,0.000343,0.000320
2024-04-17 22:22:30,0.000664,0.000343,0.000320
2024-04-17 22:22:45,0.000664,0.000343,0.000320
2024-04-17 22:23:00,0.000664,0.000343,0.000320
2024-04-17 22:23:15,0.000664,0.000343,0.000320
2024-04-17 22:23:30,0.00572,0.00502,0.000694
2024-04-17 22:23:45,0.00572,0.00502,0.000694
2024-04-17 22:24:00,0.0148,0.0140,0.000801
2024-04-17 22:24:15,0.0148,0.0140,0.000801
2024-04-17 22:24:30,0.0337,0.0311,0.00256
2024-04-17 22:24:45,0.0337,0.0311,0.00256
2024-04-17 22:25:00,0.0458,0.0431,0.00270
2024-04-17 22:25:15,0.0458,0.0431,0.00270
2024-04-17 22:25:30,0.0646,0.0601,0.00446
2024-04-17 22:25:45,0.0646,0.0601,0.00446
2024-04-17 22:26:00,0.0767,0.0721,0.00460
2024-04-17 22:26:15,0.0767,0.0721,0.00460
2024-04-17 22:26:30,0.0955,0.0891,0.00636
2024-04-17 22:26:45,0.0955,0.0891,0.00636
2024-04-17 22:27:00,0.108,0.101,0.00650
2024-04-17 22:27:15,0.108,0.101,0.00650
2024-04-17 22:27:30,0.122,0.114,0.00792
2024-04-17 22:27:45,0.122,0.114,0.00792
