"Time","machine69","machine70","All Machines"
2024-04-17 22:21:00,0.0280,0.0217,0.0982
2024-04-17 22:21:15,0.000225,0.0217,0.0704
2024-04-17 22:21:30,0.000225,0.000229,0.000664
2024-04-17 22:21:45,0.000225,0.000229,0.000664
2024-04-17 22:22:00,0.000225,0.000229,0.000664
2024-04-17 22:22:15,0.000225,0.000229,0.000664
2024-04-17 22:22:30,0.000225,0.000229,0.000664
2024-04-17 22:22:45,0.000225,0.000229,0.000664
2024-04-17 22:23:00,0.000225,0.000229,0.000664
2024-04-17 22:23:15,0.000225,0.000229,0.000664
2024-04-17 22:23:30,0.00162,0.000229,0.00572
2024-04-17 22:23:45,0.00162,0.000229,0.00572
2024-04-17 22:24:00,0.00162,0.00935,0.0148
2024-04-17 22:24:15,0.00162,0.00935,0.0148
2024-04-17 22:24:30,0.00848,0.00935,0.0337
2024-04-17 22:24:45,0.00848,0.00935,0.0337
2024-04-17 22:25:00,0.00848,0.0215,0.0458
2024-04-17 22:25:15,0.00848,0.0215,0.0458
2024-04-17 22:25:30,0.0153,0.0215,0.0646
2024-04-17 22:25:45,0.0153,0.0215,0.0646
2024-04-17 22:26:00,0.0153,0.0335,0.0767
2024-04-17 22:26:15,0.0153,0.0335,0.0767
2024-04-17 22:26:30,0.0222,0.0335,0.0955
2024-04-17 22:26:45,0.0222,0.0335,0.0955
2024-04-17 22:27:00,0.0222,0.0456,0.108
2024-04-17 22:27:15,0.0222,0.0456,0.108
2024-04-17 22:27:30,0.0278,0.0456,0.122
2024-04-17 22:27:45,0.0278,0.0456,0.122
