"Time","All machines","machine69","machine70"
2024-04-17 22:21:00,7.16,4.33,4.52
2024-04-17 22:21:15,5.55,1.11,4.51
2024-04-17 22:21:30,1.87,1.08,1.15
2024-04-17 22:21:45,1.87,1.07,1.15
2024-04-17 22:22:00,1.88,1.08,1.17
2024-04-17 22:22:15,1.83,1.08,1.16
2024-04-17 22:22:30,1.79,1.08,1.07
2024-04-17 22:22:45,1.78,1.07,1.07
2024-04-17 22:23:00,1.79,1.08,1.08
2024-04-17 22:23:15,2.28,1.45,1.39
2024-04-17 22:23:30,2.61,1.69,1.59
2024-04-17 22:23:45,2.88,1.85,1.80
2024-04-17 22:24:00,2.90,1.85,1.80
2024-04-17 22:24:15,3.23,2.05,1.94
2024-04-17 22:24:30,3.49,2.27,2.18
2024-04-17 22:24:45,3.51,2.27,2.20
2024-04-17 22:25:00,3.79,2.40,2.40
2024-04-17 22:25:15,4.11,2.63,2.47
2024-04-17 22:25:30,4.15,2.69,2.65
2024-04-17 22:25:45,4.52,2.92,2.88
2024-04-17 22:26:00,4.70,3.14,2.94
2024-04-17 22:26:15,4.94,3.16,3.17
2024-04-17 22:26:30,5.25,3.42,3.38
2024-04-17 22:26:45,5.49,3.59,3.44
2024-04-17 22:27:00,5.59,3.59,3.64
2024-04-17 22:27:15,5.51,3.59,3.52
2024-04-17 22:27:30,5.51,3.57,3.52
2024-04-17 22:27:45,5.51,3.57,3.52
