"Time","All machines","machine69","machine70"
2024-04-17 22:41:00,0.00779,0.000111,0.00401
2024-04-17 22:41:15,0.000320,0.000111,0.000107
2024-04-17 22:41:30,0.000320,0.000111,0.000107
2024-04-17 22:41:45,0.000320,0.000111,0.000107
2024-04-17 22:42:00,0.000320,0.000111,0.000107
2024-04-17 22:42:15,0.000427,0.000217,0.000107
2024-04-17 22:42:30,0.000427,0.000217,0.000107
2024-04-17 22:42:45,0.000530,0.000217,0.000210
2024-04-17 22:43:00,0.000530,0.000217,0.000210
2024-04-17 22:43:15,0.000637,0.000221,0.000210
2024-04-17 22:43:30,0.000637,0.000221,0.000210
2024-04-17 22:43:45,0.000641,0.000221,0.000214
2024-04-17 22:44:00,0.000641,0.000221,0.000214
2024-04-17 22:44:15,0.00129,0.000504,0.000214
2024-04-17 22:44:30,0.00129,0.000504,0.000214
2024-04-17 22:44:45,0.00211,0.000504,0.00104
2024-04-17 22:45:00,0.00200,0.000393,0.00104
2024-04-17 22:45:15,0.00364,0.00137,0.000931
2024-04-17 22:45:30,0.00364,0.00137,0.000931
2024-04-17 22:45:45,0.00459,0.00137,0.00189
2024-04-17 22:46:00,0.00459,0.00137,0.00189
2024-04-17 22:46:15,0.00641,0.00232,0.00189
2024-04-17 22:46:30,0.00641,0.00232,0.00189
2024-04-17 22:46:45,0.00735,0.00232,0.00283
2024-04-17 22:47:00,0.00735,0.00232,0.00283
2024-04-17 22:47:15,0.00917,0.00327,0.00283
2024-04-17 22:47:30,0.00917,0.00327,0.00283
2024-04-17 22:47:45,0.0101,0.00327,0.00378
