"Time","Total","Peers","Orderers","Couchsdb"
2024-04-17 22:41:00,0,0,0,0
2024-04-17 22:42:15,0,0,0,0
2024-04-17 22:42:30,0,0,0,0
2024-04-17 22:42:45,0,0,0,0
2024-04-17 22:43:00,0,0,0,0
2024-04-17 22:43:15,0,0,0,0
2024-04-17 22:43:30,0,0,0,0
2024-04-17 22:43:45,21.9,10.9,5.49,5.53
2024-04-17 22:44:00,39.1,21.7,8.71,8.72
2024-04-17 22:44:15,60.2,29.9,17.2,13.1
2024-04-17 22:44:30,59.9,29.5,17.4,13.0
2024-04-17 22:44:45,21.9,8.82,8.75,4.30
2024-04-17 22:45:00,23.0,8.72,9.82,4.44
2024-04-17 22:45:15,11.9,6.42,3.27,2.19
2024-04-17 22:45:30,12.2,6.70,3.38,2.15
2024-04-17 22:45:45,12.0,6.58,3.24,2.19
2024-04-17 22:46:00,4.29,2.15,0,2.15
2024-04-17 22:46:15,0,0,0,0
2024-04-17 22:46:30,2.17,0,0,2.17
2024-04-17 22:46:45,27.2,13.1,6.52,7.58
2024-04-17 22:47:00,26.9,12.8,6.51,7.50
2024-04-17 22:47:15,115,59.0,33.1,23.2
2024-04-17 22:47:30,485,218,165,102
2024-04-17 22:47:45,462,202,163,97.2
