"Time","All machines","machine69","machine70"
2024-04-17 23:06:00,0,0,0
2024-04-17 23:06:15,0,0,0
2024-04-17 23:06:30,0,0,0
2024-04-17 23:06:45,0,0,0
2024-04-17 23:07:00,0,0,0
2024-04-17 23:07:15,0,0,0
2024-04-17 23:07:30,3,0,0
2024-04-17 23:07:45,2,1,0
2024-04-17 23:08:00,0,0,0
2024-04-17 23:08:15,0,0,0
2024-04-17 23:08:30,0,0,3
2024-04-17 23:08:45,14,0,1
2024-04-17 23:09:00,0,1,0
2024-04-17 23:09:15,2,0,0
2024-04-17 23:09:30,0,0,0
2024-04-17 23:09:45,1,0,1
2024-04-17 23:10:00,1,0,0
2024-04-17 23:10:15,0,0,0
2024-04-17 23:10:30,0,0,0
2024-04-17 23:10:45,1,0,0
2024-04-17 23:11:00,1,1,1
2024-04-17 23:11:15,1,0,1
2024-04-17 23:11:30,0,0,0
2024-04-17 23:11:45,0,0,0
