"Time","All machines","machine69","machine70"
2024-04-17 23:06:00,1695537271,1047501070,619268147
2024-04-17 23:06:15,1695541385,1047502095,619269459
2024-04-17 23:06:30,1695545070,1047503193,619270854
2024-04-17 23:06:45,1171794165,523749863,619272160
2024-04-17 23:07:00,847784544,523750953,309640303
2024-04-17 23:07:15,847788161,523752007,309641570
2024-04-17 23:07:30,847843421,523774465,309663064
2024-04-17 23:07:45,847953510,523819933,309692006
2024-04-17 23:08:00,848066693,523864974,309717480
2024-04-17 23:08:15,848160639,523909840,309747932
2024-04-17 23:08:30,848275764,523958363,309780630
2024-04-17 23:08:45,848380280,524002914,309809345
2024-04-17 23:09:00,848488764,524049634,309837268
2024-04-17 23:09:15,848572943,524079522,309860085
2024-04-17 23:09:30,848696346,524144041,309897485
2024-04-17 23:09:45,848800687,524184510,309922636
2024-04-17 23:10:00,848917029,524231137,309955669
2024-04-17 23:10:15,849017834,524278616,309974832
2024-04-17 23:10:30,849111315,524317805,310012579
2024-04-17 23:10:45,849227353,524367310,310035942
2024-04-17 23:11:00,849337840,524414780,310071470
2024-04-17 23:11:15,849448186,524460482,310101997
2024-04-17 23:11:30,849517460,524492695,310116110
2024-04-17 23:11:45,849521643,524493950,310117469
