"Time","All machines","machine69","machine70"
2024-04-17 23:06:00,937468770,481679795,437282256
2024-04-17 23:06:15,937469309,481679929,437282480
2024-04-17 23:06:30,937469806,481680083,437282648
2024-04-17 23:06:45,696640517,240849895,437283313
2024-04-17 23:07:00,468760426,240850224,218649655
2024-04-17 23:07:15,468760911,240850330,218649815
2024-04-17 23:07:30,468763796,240851005,218650887
2024-04-17 23:07:45,468770720,240852217,218652698
2024-04-17 23:08:00,468777129,240853539,218653892
2024-04-17 23:08:15,468782619,240854766,218655055
2024-04-17 23:08:30,468789451,240856075,218656548
2024-04-17 23:08:45,468794451,240857172,218657652
2024-04-17 23:09:00,468800878,240858449,218658768
2024-04-17 23:09:15,468805774,240859237,218659791
2024-04-17 23:09:30,468812483,240860957,218661354
2024-04-17 23:09:45,468818557,240862318,218662436
2024-04-17 23:10:00,468825307,240863559,218663817
2024-04-17 23:10:15,468830456,240864616,218664725
2024-04-17 23:10:30,468836684,240865672,218666301
2024-04-17 23:10:45,468842577,240867007,218667460
2024-04-17 23:11:00,468849817,240868707,218668812
2024-04-17 23:11:15,468854898,240869733,218670240
2024-04-17 23:11:30,468859081,240870611,218670940
2024-04-17 23:11:45,468859513,240870731,218670976
