"Time","Total","Peers","Orderers"
2024-04-18 09:18:15,5.47,4.44,1.04
2024-04-18 09:18:30,5.29,4.31,0.982
2024-04-18 09:18:45,5.13,4.15,0.982
2024-04-18 09:19:00,5.05,4.11,0.945
2024-04-18 09:19:15,4.95,3.98,0.964
2024-04-18 09:19:30,4.95,4.00,0.945
2024-04-18 09:19:45,4.93,4.02,0.909
2024-04-18 09:20:00,7.36,6.00,1.36
2024-04-18 09:20:15,28.1,23.7,4.38
2024-04-18 09:20:30,49.1,41.8,7.38
2024-04-18 09:20:45,69.9,59.7,10.2
2024-04-18 09:21:00,82.5,70.5,12.0
2024-04-18 09:21:15,82.8,70.9,11.9
2024-04-18 09:21:30,84.6,72.4,12.2
2024-04-18 09:21:45,85.0,72.7,12.3
2024-04-18 09:22:00,86.1,73.6,12.5
2024-04-18 09:22:15,86.0,73.5,12.5
2024-04-18 09:22:30,86.8,74.2,12.6
2024-04-18 09:22:45,85.5,73,12.5
2024-04-18 09:23:00,85.2,72.8,12.4
2024-04-18 09:23:15,84.7,72.3,12.4
2024-04-18 09:23:30,85.3,72.9,12.3
2024-04-18 09:23:45,87.8,75.2,12.6
2024-04-18 09:24:00,87.5,74.9,12.6
2024-04-18 09:24:15,66.9,57.0,9.82
