"Time","Total","Peers","Orderers","Couchdb"
2024-04-18 09:18:15,818663747,818627740,35192,815
2024-04-18 09:18:30,818667780,818631038,35927,815
2024-04-18 09:18:45,818672091,818634710,36566,815
2024-04-18 09:19:00,818675837,818637805,37217,815
2024-04-18 09:19:15,818679588,818640917,37856,815
2024-04-18 09:19:30,818683748,818644433,38500,815
2024-04-18 09:19:45,818687530,818647536,39179,815
2024-04-18 09:20:00,818698311,818656227,41004,1080
2024-04-18 09:20:15,818769056,818710171,53741,5144
2024-04-18 09:20:30,818836086,818760913,66280,8893
2024-04-18 09:20:45,818909963,818818920,78222,12821
2024-04-18 09:21:00,818978875,818871554,90273,17048
2024-04-18 09:21:15,819050535,818927696,102084,20755
2024-04-18 09:21:30,819116785,818978024,113997,24764
2024-04-18 09:21:45,819185120,819030236,126132,28752
2024-04-18 09:22:00,819252226,819081488,137629,33109
2024-04-18 09:22:15,819319507,819133565,149230,36712
2024-04-18 09:22:30,819391118,819188868,161151,41099
2024-04-18 09:22:45,819458083,819239608,173389,45086
2024-04-18 09:23:00,819523469,819288560,185903,49006
2024-04-18 09:23:15,819591729,819340467,198316,52946
2024-04-18 09:23:30,819659699,819393532,209113,57054
2024-04-18 09:23:45,819727619,819445381,220854,61384
2024-04-18 09:24:00,819798205,819499314,233778,65113
2024-04-18 09:24:15,819804885,819504643,234995,65247
