"Time","All machines","machine69","machine70"
2024-04-18 09:18:15,15098,5560,4175
2024-04-18 09:18:30,14993,5574,4246
2024-04-18 09:18:45,15175,5512,4262
2024-04-18 09:19:00,15125,5547,4308
2024-04-18 09:19:15,15160,5545,4303
2024-04-18 09:19:30,15252,5327,4261
2024-04-18 09:19:45,15292,5534,4274
2024-04-18 09:20:00,23422,8035,9933
2024-04-18 09:20:15,112270,48132,34369
2024-04-18 09:20:30,199589,91767,59034
2024-04-18 09:20:45,291889,134825,82277
2024-04-18 09:21:00,345433,162585,93166
2024-04-18 09:21:15,345982,162321,93170
2024-04-18 09:21:30,345706,162988,93268
2024-04-18 09:21:45,345294,162571,92996
2024-04-18 09:22:00,344221,157780,90679
2024-04-18 09:22:15,339560,161137,92460
2024-04-18 09:22:30,342189,162392,91955
2024-04-18 09:22:45,341276,161877,92051
2024-04-18 09:23:00,341967,162370,91742
2024-04-18 09:23:15,340041,162327,92379
2024-04-18 09:23:30,337916,162341,92124
2024-04-18 09:23:45,341218,161770,92254
2024-04-18 09:24:00,338536,162007,87641
2024-04-18 09:24:15,258493,120049,66959
