"Time","Total","Peers","Orderers","Couchsdb"
2024-04-18 09:18:15,15098,12310,2788,0
2024-04-18 09:18:30,14993,12200,2793,0
2024-04-18 09:18:45,15175,12439,2736,0
2024-04-18 09:19:00,15125,12333,2792,0
2024-04-18 09:19:15,15160,12378,2782,0
2024-04-18 09:19:30,15252,12513,2739,0
2024-04-18 09:19:45,15292,12510,2782,0
2024-04-18 09:20:00,23422,19097,4008,317
2024-04-18 09:20:15,112270,88758,17471,6041
2024-04-18 09:20:30,199589,156709,31354,11526
2024-04-18 09:20:45,291889,229988,44436,17465
2024-04-18 09:21:00,345433,271545,52215,21673
2024-04-18 09:21:15,345982,272761,51613,21608
2024-04-18 09:21:30,345706,272810,51356,21539
2024-04-18 09:21:45,345294,271797,51984,21513
2024-04-18 09:22:00,344221,270907,51860,21454
2024-04-18 09:22:15,339560,266059,52069,21432
2024-04-18 09:22:30,342189,267931,52766,21492
2024-04-18 09:22:45,341276,267448,52206,21622
2024-04-18 09:23:00,341967,267377,52868,21722
2024-04-18 09:23:15,340041,265581,52913,21546
2024-04-18 09:23:30,337916,263802,52850,21264
2024-04-18 09:23:45,341218,267113,52620,21486
2024-04-18 09:24:00,338536,264823,52420,21292
2024-04-18 09:24:15,258493,201624,40505,16363
