"Time","Total","Peers","Orderers","Couchdb"
2024-04-18 09:36:15,855012214,854647052,277512,87650
2024-04-18 09:36:30,1380953707,1380587286,278544,87877
2024-04-18 09:36:45,1380954922,1380588312,278731,87879
2024-04-18 09:37:00,1692117876,1691748627,281117,88132
2024-04-18 09:37:15,1165790545,1165620949,112673,56923
2024-04-18 09:37:30,837111065,837105835,4714,516
2024-04-18 09:37:45,854318311,854310710,6843,758
2024-04-18 09:38:00,854322131,854313772,7597,762
2024-04-18 09:38:15,854380828,854361536,16043,3249
2024-04-18 09:38:30,854484780,854445202,31860,7718
2024-04-18 09:38:45,854585279,854525567,47481,12231
2024-04-18 09:39:00,854690082,854610343,62665,17074
2024-04-18 09:39:15,854790862,854690193,78205,22464
2024-04-18 09:39:30,854893305,854772241,94474,26590
2024-04-18 09:39:45,854997493,854855795,109744,31954
2024-04-18 09:40:00,855103670,854942591,124241,36838
2024-04-18 09:40:15,855206789,855024942,140565,41282
2024-04-18 09:40:30,855306551,855104566,155325,46660
2024-04-18 09:40:45,855412935,855191614,170162,51159
2024-04-18 09:41:00,855512442,855270116,186132,56194
2024-04-18 09:41:15,855623764,855361704,200382,61678
2024-04-18 09:41:30,855716705,855435346,215451,65908
2024-04-18 09:41:45,855819111,855516693,231509,70909
2024-04-18 09:42:00,855924869,855602015,246867,75987
2024-04-18 09:42:15,855990854,855655529,256439,78886
