"Time","All machines","machine69","machine70"
2024-04-18 09:36:15,819935695,509623215,300553137
2024-04-18 09:36:30,1329191608,1018879128,300553137
2024-04-18 09:36:45,1329192630,1018880113,300553137
2024-04-18 09:37:00,1629492997,1018881370,300556052
2024-04-18 09:37:15,1119872211,509258914,600854007
2024-04-18 09:37:30,809562706,509260255,300302585
2024-04-18 09:37:45,819265073,509261430,300304003
2024-04-18 09:38:00,819268861,509262561,300305387
2024-04-18 09:38:15,819314678,509280599,300323848
2024-04-18 09:38:30,819391259,509314388,300351672
2024-04-18 09:38:45,819464315,509349334,300376199
2024-04-18 09:39:00,819539618,509382662,300405742
2024-04-18 09:39:15,819613917,509416476,300433557
2024-04-18 09:39:30,819687824,509450645,300455511
2024-04-18 09:39:45,819763039,509483335,300485496
2024-04-18 09:40:00,819839423,509518319,300514190
2024-04-18 09:40:15,819914356,509551486,300540135
2024-04-18 09:40:30,819988344,509587330,300564772
2024-04-18 09:40:45,820064676,509622090,300593869
2024-04-18 09:41:00,820137657,509655646,300619489
2024-04-18 09:41:15,820217106,509690402,300646561
2024-04-18 09:41:30,820286412,509725497,300671056
2024-04-18 09:41:45,820359997,509757903,300695762
2024-04-18 09:42:00,820436251,509793243,300726605
2024-04-18 09:42:15,820483410,509815430,300738692
