"Time","machine69","machine70","All Machines"
2024-04-18 10:08:00,0.00313,0.00280,0.00367
2024-04-18 10:08:15,0.00313,0.00280,0.00367
2024-04-18 10:08:30,0.00320,0.00280,0.00435
2024-04-18 10:08:45,0.00320,0.00280,0.00435
2024-04-18 10:09:00,0.00320,0.00282,0.00436
2024-04-18 10:09:15,0.00320,0.00282,0.00436
2024-04-18 10:09:30,0.00834,0.00282,0.0108
2024-04-18 10:09:45,0.00834,0.00282,0.0108
2024-04-18 10:10:00,0.00834,0.0255,0.0221
2024-04-18 10:10:15,0.00681,0.0255,0.0213
2024-04-18 10:10:30,0.0457,0.0240,0.0557
2024-04-18 10:10:45,0.0457,0.0240,0.0557
2024-04-18 10:11:00,0.0457,0.0560,0.0716
2024-04-18 10:11:15,0.0457,0.0560,0.0716
2024-04-18 10:11:30,0.0853,0.0560,0.108
2024-04-18 10:11:45,0.0853,0.0560,0.108
2024-04-18 10:12:00,0.0853,0.0896,0.125
2024-04-18 10:12:15,0.0853,0.0896,0.125
2024-04-18 10:12:30,0.124,0.0896,0.161
2024-04-18 10:12:45,0.124,0.0896,0.161
2024-04-18 10:13:00,0.124,0.122,0.177
2024-04-18 10:13:15,0.124,0.122,0.177
