"Time","Total","Peers","Orderers"
2024-04-18 10:08:00,0.00367,0.00188,0.00179
2024-04-18 10:08:15,0.00367,0.00188,0.00179
2024-04-18 10:08:30,0.00435,0.00223,0.00211
2024-04-18 10:08:45,0.00435,0.00223,0.00211
2024-04-18 10:09:00,0.00436,0.00225,0.00211
2024-04-18 10:09:15,0.00436,0.00225,0.00211
2024-04-18 10:09:30,0.0108,0.00814,0.00262
2024-04-18 10:09:45,0.0108,0.00814,0.00262
2024-04-18 10:10:00,0.0221,0.0193,0.00276
2024-04-18 10:10:15,0.0213,0.0189,0.00243
2024-04-18 10:10:30,0.0557,0.0503,0.00540
2024-04-18 10:10:45,0.0557,0.0503,0.00540
2024-04-18 10:11:00,0.0716,0.0660,0.00563
2024-04-18 10:11:15,0.0716,0.0660,0.00563
2024-04-18 10:11:30,0.108,0.0986,0.00929
2024-04-18 10:11:45,0.108,0.0986,0.00929
2024-04-18 10:12:00,0.125,0.115,0.00951
2024-04-18 10:12:15,0.125,0.115,0.00951
2024-04-18 10:12:30,0.161,0.148,0.0131
2024-04-18 10:12:45,0.161,0.148,0.0131
2024-04-18 10:13:00,0.177,0.164,0.0134
2024-04-18 10:13:15,0.177,0.164,0.0134
