"Time","All machines","machine69","machine70"
2024-04-18 10:08:00,0,0,0
2024-04-18 10:08:15,0,0,0
2024-04-18 10:08:30,0,0,0
2024-04-18 10:08:45,0,0,0
2024-04-18 10:09:00,0,0,0
2024-04-18 10:09:15,0,0,0
2024-04-18 10:09:30,0,0,0
2024-04-18 10:09:45,21.6,21.5,0
2024-04-18 10:10:00,93.3,93.0,0
2024-04-18 10:10:15,117,117,0
2024-04-18 10:10:30,99.7,98.8,0
2024-04-18 10:10:45,93.0,80.2,0
2024-04-18 10:11:00,45.1,44.7,0
2024-04-18 10:11:15,22.1,21.7,0
2024-04-18 10:11:30,21.7,21.7,0
2024-04-18 10:11:45,0,0,0
2024-04-18 10:12:00,2.17,2.17,0
2024-04-18 10:12:15,222,221,0
2024-04-18 10:12:30,382,351,0
2024-04-18 10:12:45,588,581,0
2024-04-18 10:13:00,548,545,0
2024-04-18 10:13:15,738,723,0
