"Time","Total","Peers","Orderers","Couchsdb"
2024-04-18 10:05:30,9387,7336,2051,0
2024-04-18 10:05:45,6589,5195,1394,0
2024-04-18 10:06:00,4001,3268,733,0
2024-04-18 10:06:15,655,576,78.8,
2024-04-18 10:07:30,1330,1003,327,0
2024-04-18 10:07:45,2783,2077,685,20.9
2024-04-18 10:08:00,5181,3971,1190,19.8
2024-04-18 10:08:15,7983,6255,1696,32.2
2024-04-18 10:08:30,10504,8466,1988,49.8
2024-04-18 10:08:45,13360,10956,2370,33.1
2024-04-18 10:09:00,14713,12204,2475,33.7
2024-04-18 10:09:15,58909,47153,9920,1836
2024-04-18 10:09:30,128104,100189,21759,6157
2024-04-18 10:09:45,208090,162906,34500,10684
2024-04-18 10:10:00,278225,216876,46265,15084
2024-04-18 10:10:15,286539,224750,45784,16005
2024-04-18 10:10:30,282313,221259,44960,16094
2024-04-18 10:10:45,277978,216940,45147,15891
2024-04-18 10:11:00,285133,223021,45735,16377
2024-04-18 10:11:15,284589,223215,45763,15611
2024-04-18 10:11:30,286712,224761,46038,15913
2024-04-18 10:11:45,287533,225175,46406,15953
2024-04-18 10:12:00,284179,223240,45447,15492
2024-04-18 10:12:15,281843,220955,45163,15726
2024-04-18 10:12:30,280421,220006,44706,15709
2024-04-18 10:12:45,282518,221617,44902,15999
2024-04-18 10:13:00,255592,200169,40928,14495
2024-04-18 10:13:15,253501,196878,40838,15785
2024-04-18 10:13:30,182707,141143,29904,11661
2024-04-18 10:13:45,106214,82596,16561,7058
2024-04-18 10:14:00,55610,42873,8564,4174
2024-04-18 10:14:15,17987,15322,2665,0
2024-04-18 10:14:30,18121,15476,2645,0
2024-04-18 10:14:45,18989,15670,2655,664
2024-04-18 10:15:00,18759,15427,2666,666
2024-04-18 10:15:15,18019,14684,2653,682
2024-04-18 10:15:30,17640,14365,2603,672
2024-04-18 10:15:45,16056,13397,2659,0
2024-04-18 10:16:00,15688,13046,2643,0
