"Time","Total","Peers","Orderers","Ledgers"
2024-04-18 10:26:00,0,0,0,0
2024-04-18 10:26:15,0,0,0,0
2024-04-18 10:26:30,0,0,0,0
2024-04-18 10:26:45,0,0,0,0
2024-04-18 10:27:00,0,0,0,0
2024-04-18 10:27:15,0,0,0,0
2024-04-18 10:27:30,3,1,1,1
2024-04-18 10:27:45,5,4,1,0
2024-04-18 10:28:00,2,1,1,0
2024-04-18 10:28:15,1,1,0,0
2024-04-18 10:28:30,0,0,0,0
2024-04-18 10:28:45,0,0,0,0
2024-04-18 10:29:00,4,0,2,2
2024-04-18 10:29:15,1,0,0,1
2024-04-18 10:29:30,1,0,1,0
2024-04-18 10:29:45,5,1,1,3
2024-04-18 10:30:00,2,0,0,2
2024-04-18 10:30:15,2,1,0,1
2024-04-18 10:30:30,2,0,1,1
2024-04-18 10:30:45,2,1,1,0
2024-04-18 10:31:00,2,1,1,0
2024-04-18 10:31:15,1,1,0,0
2024-04-18 10:31:30,1,1,0,0
2024-04-18 10:31:45,1,1,0,0
