"Time","All machines","machine69","machine70"
2024-04-18 10:26:00,1.65,0.502,0.539
2024-04-18 10:26:15,1.65,0.502,0.539
2024-04-18 10:26:30,1.83,0.676,0.539
2024-04-18 10:26:45,1.83,0.678,0.539
2024-04-18 10:27:00,2.03,0.679,0.736
2024-04-18 10:27:15,2.03,0.678,0.740
2024-04-18 10:27:30,2.28,0.680,0.742
2024-04-18 10:27:45,2.28,0.679,0.742
2024-04-18 10:28:00,2.38,0.733,0.754
2024-04-18 10:28:15,2.47,0.766,0.794
2024-04-18 10:28:30,2.57,0.796,0.825
2024-04-18 10:28:45,2.59,0.796,0.829
2024-04-18 10:29:00,2.69,0.827,0.860
2024-04-18 10:29:15,2.28,0.356,0.358
2024-04-18 10:29:30,1.11,0.355,0.347
2024-04-18 10:29:45,1.21,0.389,0.376
2024-04-18 10:30:00,1.33,0.424,0.419
2024-04-18 10:30:15,1.34,0.428,0.423
2024-04-18 10:30:30,1.44,0.458,0.458
2024-04-18 10:30:45,1.55,0.492,0.494
2024-04-18 10:31:00,1.58,0.502,0.500
2024-04-18 10:31:15,1.68,0.527,0.538
2024-04-18 10:31:30,1.78,0.556,0.582
2024-04-18 10:31:45,1.78,0.547,0.573
