"Time","orderers","peers","Total"
2024-04-18 10:26:00,1.97,1.73,3.70
2024-04-18 10:26:15,1.97,1.73,3.70
2024-04-18 10:26:30,2.04,1.98,4.02
2024-04-18 10:26:45,2.04,1.98,4.02
2024-04-18 10:27:00,2.12,2.30,4.42
2024-04-18 10:27:15,2.12,2.31,4.44
2024-04-18 10:27:30,2.23,2.73,4.95
2024-04-18 10:27:45,2.23,2.73,4.96
2024-04-18 10:28:00,2.38,2.84,5.22
2024-04-18 10:28:15,2.58,2.91,5.48
2024-04-18 10:28:30,2.76,2.97,5.73
2024-04-18 10:28:45,2.74,3.04,5.77
2024-04-18 10:29:00,2.93,3.10,6.04
2024-04-18 10:29:15,2.57,2.64,5.21
2024-04-18 10:29:30,1.06,1.47,2.52
2024-04-18 10:29:45,1.26,1.52,2.78
2024-04-18 10:30:00,1.47,1.59,3.07
2024-04-18 10:30:15,1.40,1.64,3.04
2024-04-18 10:30:30,1.60,1.70,3.30
2024-04-18 10:30:45,1.82,1.74,3.57
2024-04-18 10:31:00,1.72,1.81,3.53
2024-04-18 10:31:15,1.89,1.87,3.76
2024-04-18 10:31:30,2.04,1.92,3.95
2024-04-18 10:31:45,1.93,1.97,3.91
