"Time","Total","Peers","Orderers"
2024-04-19 11:08:45,3.52,2.44,1.08
2024-04-19 11:09:00,3.87,2.67,1.20
2024-04-19 11:09:15,5.71,4.58,1.13
2024-04-19 11:09:30,5.30,4.15,1.15
2024-04-19 11:09:45,6.83,5.72,1.11
2024-04-19 11:10:00,6.65,5.56,1.09
2024-04-19 11:10:15,6.39,5.37,1.02
2024-04-19 11:10:30,7.22,6.02,1.20
2024-04-19 11:10:45,23.4,19.1,4.31
2024-04-19 11:11:00,46.9,38.6,8.31
2024-04-19 11:11:15,70.7,58.7,11.9
2024-04-19 11:11:30,92.6,77.3,15.3
2024-04-19 11:11:45,96.1,80.9,15.2
2024-04-19 11:12:00,95.7,80.5,15.2
2024-04-19 11:12:15,94.4,79.1,15.3
2024-04-19 11:12:30,91.7,76.8,14.9
2024-04-19 11:12:45,90.5,75.7,14.8
2024-04-19 11:13:00,92.8,77.4,15.4
2024-04-19 11:13:15,95.1,79.4,15.7
2024-04-19 11:13:30,98.1,82,16.1
2024-04-19 11:13:45,99.8,83.5,16.3
2024-04-19 11:14:00,100,83.9,16.5
2024-04-19 11:14:15,102,85.9,16.3
2024-04-19 11:14:30,102,85.5,16.3
