"Time","All machines","machine69","machine70","machine77"
2024-04-19 19:50:15,882815170,535262120,317835725,29710631
2024-04-19 19:50:30,882918974,535307318,317865701,29744330
2024-04-19 19:50:45,883024089,535350817,317892285,29778825
2024-04-19 19:51:00,883134324,535395935,317928662,29810605
2024-04-19 19:51:15,883244381,535441822,317954841,29844658
2024-04-19 19:51:30,883350546,535482280,317989607,29876427
2024-04-19 19:51:45,883456471,535525914,318013966,29909833
2024-04-19 19:52:00,883563785,535570236,318045703,29943028
2024-04-19 19:52:15,883664848,535612035,318080501,29978101
2024-04-19 19:52:30,883777225,535656990,318110790,30011075
2024-04-19 19:52:45,883881404,535700290,318140660,30042472
2024-04-19 19:53:00,883931419,535722717,318150536,30058499
2024-04-19 19:53:15,883935550,535723939,318151854,30059859
2024-04-19 19:53:30,883939133,535725034,318153155,30061207
2024-04-19 19:53:45,883943244,535726123,318154232,30062506
