"Time","All machines","machine69","machine70","machine77"
2024-04-19 19:50:15,303601,125854,106195,71397
2024-04-19 19:50:30,304367,127321,106173,70928
2024-04-19 19:50:45,304672,128006,105769,71000
2024-04-19 19:51:00,304437,127554,106058,71385
2024-04-19 19:51:15,303469,128396,105523,71815
2024-04-19 19:51:30,301311,126157,106161,71930
2024-04-19 19:51:45,301814,124587,103669,71792
2024-04-19 19:52:00,301441,125033,104673,71424
2024-04-19 19:52:15,297149,124097,104023,71151
2024-04-19 19:52:30,296826,124079,104484,70418
2024-04-19 19:52:45,296127,124270,103559,69976
2024-04-19 19:53:00,254583,106909,84369,60263
2024-04-19 19:53:15,176725,73627,57688,42349
2024-04-19 19:53:30,100871,42473,31961,25643
2024-04-19 19:53:45,25249,10191,5822,8001
