"Time","Total","Peers","Orderers","Couchdb"
2024-04-19 11:43:15,27394873,13696937,6848483,6849453
2024-04-19 11:43:30,27394873,13696937,6848483,6849453
2024-04-19 11:43:45,27394873,13696937,6848483,6849453
2024-04-19 11:44:00,27394898,13696951,6848489,6849458
2024-04-19 11:44:15,27394903,13696954,6848490,6849459
2024-04-19 11:44:30,27394918,13696960,6848493,6849465
2024-04-19 11:44:45,27394918,13696960,6848493,6849465
2024-04-19 11:45:00,27394918,13696960,6848493,6849465
2024-04-19 11:45:15,27394978,13696991,6848506,6849481
2024-04-19 11:45:30,27395125,13697063,6848538,6849524
2024-04-19 11:45:45,27395174,13697088,6848550,6849536
2024-04-19 11:46:00,27395320,13697154,6848582,6849584
2024-04-19 11:46:15,27395343,13697163,6848588,6849592
2024-04-19 11:46:30,27395488,13697250,6848616,6849622
2024-04-19 11:46:45,27395705,13697341,6848661,6849703
2024-04-19 11:47:00,27395941,13697458,6848713,6849770
2024-04-19 11:47:15,27396026,13697501,6848738,6849787
