"Time","Total","Peers","Orderers","Couchsdb"
2024-04-19 11:43:15,2963,1483,750,731
2024-04-19 11:43:30,3216,1606,818,792
2024-04-19 11:43:45,3105,1553,792,761
2024-04-19 11:44:00,5036,2038,1197,1800
2024-04-19 11:44:15,10361,3207,2383,4770
2024-04-19 11:44:30,17779,5149,3727,8902
2024-04-19 11:44:45,23716,6484,4808,12424
2024-04-19 11:45:00,24908,6900,5323,12685
2024-04-19 11:45:15,25470,6985,5317,13168
2024-04-19 11:45:30,24839,6717,5200,12922
2024-04-19 11:45:45,24239,6492,5030,12718
2024-04-19 11:46:00,24915,6807,5225,12884
2024-04-19 11:46:15,24520,6540,5165,12815
2024-04-19 11:46:30,24723,6720,5218,12785
2024-04-19 11:46:45,24173,6467,4959,12748
2024-04-19 11:47:00,24218,6472,5070,12675
2024-04-19 11:47:15,23991,6303,5056,12632
