"Time","machine69","machine70","Total","machine77"
2024-04-19 17:37:45,2.89,4.59,12.2,1.75
2024-04-19 17:38:00,26.4,30.8,70.1,14.9
2024-04-19 17:38:15,52.0,49.4,129,27.3
2024-04-19 17:38:30,73.7,71.8,184,39.1
2024-04-19 17:38:45,91.8,84.1,223,46.9
2024-04-19 17:39:00,90.2,82.0,217,45.0
2024-04-19 17:39:15,88.5,83.0,218,44.3
2024-04-19 17:39:30,90.4,87.7,222,44.4
2024-04-19 17:39:45,89.0,93.4,227,44.8
2024-04-19 17:40:00,86.4,99.5,232,45.1
2024-04-19 17:40:15,85.1,102,232,45.5
2024-04-19 17:40:30,86.1,98.7,231,45.6
2024-04-19 17:40:45,86.5,95.4,228,46.0
2024-04-19 17:41:00,87.7,91.6,225,46.1
2024-04-19 17:41:15,88.7,89.7,223,46.4
2024-04-19 17:41:30,88.0,90.2,223,46.7
2024-04-19 17:41:45,85.8,82.7,214,45.8
