"Time","Total","Peers","Orderers","Couchdb"
2024-04-19 17:37:45,874895704,874877735,17027,942
2024-04-19 17:38:00,874994956,874957670,30589,6697
2024-04-19 17:38:15,875086086,875030366,43601,12119
2024-04-19 17:38:30,875174085,875100925,56659,16501
2024-04-19 17:38:45,875266608,875174614,70394,21600
2024-04-19 17:39:00,875358732,875249955,82417,26360
2024-04-19 17:39:15,875453010,875325488,96136,31386
2024-04-19 17:39:30,875542848,875397359,108508,36981
2024-04-19 17:39:45,875631645,875467989,122015,41641
2024-04-19 17:40:00,875728721,875547664,134058,46999
2024-04-19 17:40:15,875815846,875617334,146875,51637
2024-04-19 17:40:30,875901768,875685085,159823,56860
2024-04-19 17:40:45,875995681,875761085,173131,61465
2024-04-19 17:41:00,876086223,875834870,185187,66166
2024-04-19 17:41:15,876177243,875907793,198481,70969
2024-04-19 17:41:30,876269321,875981475,211955,75891
2024-04-19 17:41:45,876346787,876043259,223255,80273
