"Time","orderers","peers","Total"
2024-04-19 17:37:45,0.103,0.312,0.415
2024-04-19 17:38:00,0.165,0.367,0.533
2024-04-19 17:38:15,0.237,0.389,0.626
2024-04-19 17:38:30,0.248,0.413,0.661
2024-04-19 17:38:45,0.310,0.423,0.733
2024-04-19 17:39:00,0.358,0.447,0.805
2024-04-19 17:39:15,0.326,0.463,0.789
2024-04-19 17:39:30,0.376,0.474,0.851
2024-04-19 17:39:45,0.437,0.499,0.936
2024-04-19 17:40:00,0.395,0.513,0.908
2024-04-19 17:40:15,0.454,0.523,0.977
2024-04-19 17:40:30,0.515,0.547,1.06
2024-04-19 17:40:45,0.485,0.557,1.04
2024-04-19 17:41:00,0.542,0.584,1.13
2024-04-19 17:41:15,0.594,0.598,1.19
2024-04-19 17:41:30,0.567,0.610,1.18
2024-04-19 17:41:45,0.614,0.627,1.24
