"Time","All machines","machine69","machine70","machine77"
2024-04-19 18:01:30,838022341,515489046,304799100,17733872
2024-04-19 18:01:45,838090152,515516173,304827028,17746814
2024-04-19 18:02:00,838162452,515546227,304858688,17761192
2024-04-19 18:02:15,838239794,515578755,304886695,17774160
2024-04-19 18:02:30,838312791,515610964,304917806,17788097
2024-04-19 18:02:45,838388029,515640511,304946674,17801902
2024-04-19 18:03:00,838460963,515674833,304970945,17814856
2024-04-19 18:03:15,838534035,515704458,305004575,17829190
2024-04-19 18:03:30,838609135,515734844,305033666,17843016
2024-04-19 18:03:45,838685384,515767953,305059104,17856886
2024-04-19 18:04:00,838756678,515798687,305090916,17869936
2024-04-19 18:04:15,838830569,515829801,305118684,17883804
2024-04-19 18:04:30,838906408,515862945,305147097,17897489
2024-04-19 18:04:45,838982619,515894065,305177210,17911830
2024-04-19 18:05:00,839053462,515924610,305202600,17924928
2024-04-19 18:05:15,839129342,515956765,305234432,17938825
2024-04-19 18:05:30,839204009,515987694,305259964,17952418
