"Time","Total","Peers","Orderers","Couchsdb"
2024-04-19 18:01:30,23572,19279,4173,121
2024-04-19 18:01:45,118181,95152,18299,4730
2024-04-19 18:02:00,223578,179923,34006,9649
2024-04-19 18:02:15,335970,270796,50286,14887
2024-04-19 18:02:30,404452,325028,60615,18809
2024-04-19 18:02:45,407287,328338,60003,18946
2024-04-19 18:03:00,409379,331167,59578,18634
2024-04-19 18:03:15,409317,331316,59422,18579
2024-04-19 18:03:30,408401,330127,59348,18926
2024-04-19 18:03:45,406443,327833,59629,18980
2024-04-19 18:04:00,405901,327184,59602,19114
2024-04-19 18:04:15,405094,326621,59330,19142
2024-04-19 18:04:30,407756,329578,58989,19189
2024-04-19 18:04:45,407852,329313,59300,19239
2024-04-19 18:05:00,405984,327772,58963,19248
2024-04-19 18:05:15,405991,328031,58693,19267
2024-04-19 18:05:30,403120,324886,58988,19246
