"Time","Total","Peers","Orderers","Couchsdb"
2024-04-19 18:01:30,15.9,6.37,3.13,6.43
2024-04-19 18:01:45,11.8,5.35,2.15,4.30
2024-04-19 18:02:00,9.55,4.22,1.07,4.26
2024-04-19 18:02:15,10.4,5.27,2.09,3.08
2024-04-19 18:02:30,11.6,5.30,2.08,4.17
2024-04-19 18:02:45,10.7,4.23,2.11,4.38
2024-04-19 18:03:00,14.7,4.14,3.16,7.38
2024-04-19 18:03:15,12.6,2.08,2.12,8.43
2024-04-19 18:03:30,11.8,2.11,2.16,7.51
2024-04-19 18:03:45,12.9,2.13,5.32,5.44
2024-04-19 18:04:00,10.6,3.17,4.22,3.17
2024-04-19 18:04:15,18.1,4.28,4.21,9.65
2024-04-19 18:04:30,18.0,5.31,4.21,8.47
2024-04-19 18:04:45,15.9,4.25,1.08,10.5
2024-04-19 18:05:00,25.7,8.55,2.15,15.0
2024-04-19 18:05:15,15.9,7.41,2.14,6.39
2024-04-19 18:05:30,16.9,6.32,2.14,8.43
