"Time","machine69","machine70","All Machines","machine77"
2024-04-19 18:26:30,0.000523,0.000458,0.00140,0.000420
2024-04-19 18:26:45,0.00229,0.000458,0.00445,0.00170
2024-04-19 18:27:00,0.00229,0.000458,0.00445,0.00170
2024-04-19 18:27:15,0.00229,0.00884,0.0128,0.00170
2024-04-19 18:27:30,0.00203,0.00884,0.0126,0.00170
2024-04-19 18:27:45,0.0149,0.00861,0.0302,0.00671
2024-04-19 18:28:00,0.0149,0.00861,0.0302,0.00671
2024-04-19 18:28:15,0.0149,0.0205,0.0421,0.00671
2024-04-19 18:28:30,0.0149,0.0205,0.0421,0.00671
2024-04-19 18:28:45,0.0278,0.0205,0.0602,0.0120
2024-04-19 18:29:00,0.0278,0.0205,0.0602,0.0120
2024-04-19 18:29:15,0.0278,0.0326,0.0723,0.0120
2024-04-19 18:29:30,0.0278,0.0326,0.0723,0.0120
2024-04-19 18:29:45,0.0408,0.0326,0.0905,0.0172
2024-04-19 18:30:00,0.0408,0.0326,0.0905,0.0172
2024-04-19 18:30:15,0.0408,0.0444,0.102,0.0172
2024-04-19 18:30:30,0.0408,0.0444,0.102,0.0172
