"Time","All machines","machine69","machine70","machine77"
2024-04-19 18:26:30,0.00192,0.00119,0.000681,0.000645
2024-04-19 18:26:45,0.00301,0.00203,0.000681,0.00131
2024-04-19 18:27:00,0.00301,0.00203,0.000681,0.00131
2024-04-19 18:27:15,0.00510,0.00203,0.00277,0.00131
2024-04-19 18:27:30,0.00485,0.00153,0.00277,0.00131
2024-04-19 18:27:45,0.00987,0.00745,0.00244,0.00370
2024-04-19 18:28:00,0.00987,0.00745,0.00244,0.00370
2024-04-19 18:28:15,0.0128,0.00745,0.00538,0.00370
2024-04-19 18:28:30,0.0128,0.00745,0.00538,0.00370
2024-04-19 18:28:45,0.0185,0.0134,0.00538,0.00640
2024-04-19 18:29:00,0.0185,0.0134,0.00538,0.00640
2024-04-19 18:29:15,0.0214,0.0134,0.00834,0.00640
2024-04-19 18:29:30,0.0214,0.0134,0.00834,0.00640
2024-04-19 18:29:45,0.0271,0.0193,0.00834,0.00910
2024-04-19 18:30:00,0.0271,0.0193,0.00834,0.00910
2024-04-19 18:30:15,0.0300,0.0193,0.0113,0.00910
2024-04-19 18:30:30,0.0300,0.0193,0.0113,0.00910
