"Time","All machines","machine69","machine70","machine77"
2024-04-19 18:26:30,0,0,1,0
2024-04-19 18:26:45,1,0,0,0
2024-04-19 18:27:00,0,0,1,0
2024-04-19 18:27:15,1,0,0,0
2024-04-19 18:27:30,0,0,0,0
2024-04-19 18:27:45,0,0,0,0
2024-04-19 18:28:00,0,0,0,0
2024-04-19 18:28:15,1,1,1,0
2024-04-19 18:28:30,0,0,0,0
2024-04-19 18:28:45,1,0,1,0
2024-04-19 18:29:00,1,0,0,0
2024-04-19 18:29:15,0,0,0,0
2024-04-19 18:29:30,0,0,1,0
2024-04-19 18:29:45,0,0,2,0
2024-04-19 18:30:00,0,0,1,0
2024-04-19 18:30:15,0,0,0,0
2024-04-19 18:30:30,1,1,0,0
