"Time","All machines","machine69","machine70","machine77"
2024-04-19 18:26:30,50010,18139,14361,14849
2024-04-19 18:26:45,149540,60106,48157,45866
2024-04-19 18:27:00,257380,104112,75606,77464
2024-04-19 18:27:15,360257,145210,103251,108474
2024-04-19 18:27:30,397273,163619,111304,119885
2024-04-19 18:27:45,394689,163900,113876,120083
2024-04-19 18:28:00,393015,164064,114442,120350
2024-04-19 18:28:15,398884,164206,113968,120761
2024-04-19 18:28:30,396762,164189,112437,120706
2024-04-19 18:28:45,399887,164480,114515,121098
2024-04-19 18:29:00,398133,164947,114772,121532
2024-04-19 18:29:15,398666,163757,114486,120391
2024-04-19 18:29:30,398029,164315,113742,120022
2024-04-19 18:29:45,397170,161355,113361,119899
2024-04-19 18:30:00,397152,163737,113203,119866
2024-04-19 18:30:15,391686,162145,113052,119614
2024-04-19 18:30:30,375157,156817,105983,114990
