"Time","All machines","machine69","machine70","machine77"
2024-04-19 18:26:30,50033202,38083586,11809896,139720
2024-04-19 18:26:45,50033212,38083596,11809896,139720
2024-04-19 18:27:00,50033232,38083616,11809896,139720
2024-04-19 18:27:15,50033242,38083626,11809896,139720
2024-04-19 18:27:30,33712436,21762820,11809896,139720
2024-04-19 18:27:45,27737628,21762820,5904948,69860
2024-04-19 18:28:00,27737628,21762820,5904948,69860
2024-04-19 18:28:15,27737628,21762820,5904948,69860
2024-04-19 18:28:30,27737632,21762824,5904948,69860
2024-04-19 18:28:45,27737740,21762932,5904948,69860
2024-04-19 18:29:00,27737811,21763003,5904948,69860
2024-04-19 18:29:15,27738037,21763217,5904948,69860
2024-04-19 18:29:30,27738158,21763350,5904948,69860
2024-04-19 18:29:45,27738602,21763774,5904948,69860
2024-04-19 18:30:00,27738851,21763901,5904948,69860
2024-04-19 18:30:15,27740011,21765203,5904948,69860
2024-04-19 18:30:30,27740090,21765282,5904948,69860
