"Time","All machines","machine69","machine70","machine77"
2024-04-19 18:26:30,16.3,16.4,0,0
2024-04-19 18:26:45,27.2,27.2,0,0
2024-04-19 18:27:00,49.2,49.2,0,0
2024-04-19 18:27:15,60.8,60.9,0,0
2024-04-19 18:27:30,33.8,33.7,0,0
2024-04-19 18:27:45,33.7,33.9,0,0
2024-04-19 18:28:00,7.65,9.80,0,0
2024-04-19 18:28:15,1.09,1.09,0,0
2024-04-19 18:28:30,4.39,4.33,0,0
2024-04-19 18:28:45,123,121,0,0
2024-04-19 18:29:00,200,202,0,0
2024-04-19 18:29:15,437,432,0,0
2024-04-19 18:29:30,544,562,0,0
2024-04-19 18:29:45,944,921,0,0
2024-04-19 18:30:00,1100,959,0,0
2024-04-19 18:30:15,2131,2107,0,0
2024-04-19 18:30:30,2077,2077,0,0
