"Time","All machines","machine69","machine70","machine77"
2024-04-19 18:26:30,4.02,2.43,2.48,3.21
2024-04-19 18:26:45,4.34,2.72,2.57,3.38
2024-04-19 18:27:00,4.64,2.86,2.78,3.64
2024-04-19 18:27:15,4.73,2.94,2.79,3.72
2024-04-19 18:27:30,4.41,1.95,2.97,3.90
2024-04-19 18:27:45,3.39,2.18,2.08,2.53
2024-04-19 18:28:00,3.52,2.19,2.05,2.72
2024-04-19 18:28:15,3.69,2.35,2.30,2.74
2024-04-19 18:28:30,4.01,2.55,2.54,2.97
2024-04-19 18:28:45,4.03,2.51,2.55,2.96
2024-04-19 18:29:00,4.25,2.67,2.75,3.13
2024-04-19 18:29:15,4.61,2.78,2.95,3.42
2024-04-19 18:29:30,4.56,2.73,3.01,3.40
2024-04-19 18:29:45,4.94,2.91,3.19,3.68
2024-04-19 18:30:00,5.22,3.13,3.49,3.91
2024-04-19 18:30:15,5.22,3.01,3.51,3.93
2024-04-19 18:30:30,5.43,3.21,3.55,4.03
