"Time","Total","Peers","Orderers","Couchdb"
2024-04-19 19:00:15,476334285,238160693,119082334,119091258
2024-04-19 19:00:30,476340526,238162025,119083644,119094857
2024-04-19 19:00:45,476347318,238164233,119085102,119097983
2024-04-19 19:01:00,476352863,238166025,119086593,119100245
2024-04-19 19:01:15,476358435,238167625,119087650,119103160
2024-04-19 19:01:30,476364497,238169181,119088893,119106423
2024-04-19 19:01:45,476370163,238170951,119090406,119108806
2024-04-19 19:02:00,476375056,238172165,119091397,119111494
2024-04-19 19:02:15,476381069,238173911,119092771,119114387
2024-04-19 19:02:30,476387509,238175470,119094288,119117751
2024-04-19 19:02:45,476393286,238177190,119095386,119120710
2024-04-19 19:03:00,476399270,238179347,119096712,119123211
