"Time","All machines","machine69","machine70","machine77"
2024-04-19 19:00:15,1.05,0.329,0.322,0.408
2024-04-19 19:00:30,1.13,0.338,0.327,0.439
2024-04-19 19:00:45,1.14,0.359,0.356,0.425
2024-04-19 19:01:00,1.24,0.392,0.389,0.458
2024-04-19 19:01:15,1.33,0.422,0.424,0.494
2024-04-19 19:01:30,1.35,0.430,0.424,0.495
2024-04-19 19:01:45,1.46,0.455,0.464,0.531
2024-04-19 19:02:00,1.54,0.486,0.498,0.566
2024-04-19 19:02:15,1.56,0.490,0.504,0.573
2024-04-19 19:02:30,1.66,0.511,0.540,0.609
2024-04-19 19:02:45,1.76,0.529,0.576,0.636
2024-04-19 19:03:00,1.77,0.532,0.573,0.658
