"Time","Total","Peers","Orderers","Couchsdb"
2024-04-19 19:00:15,54.3,28.3,12.0,14.0
2024-04-19 19:00:30,32.6,18.6,7.49,6.51
2024-04-19 19:00:45,33.2,19.0,7.63,6.58
2024-04-19 19:01:00,21.8,12.1,5.43,4.28
2024-04-19 19:01:15,10.9,6.50,2.14,2.22
2024-04-19 19:01:30,10.9,6.50,2.18,2.18
2024-04-19 19:01:45,10.9,6.54,2.25,2.14
2024-04-19 19:02:00,19.6,11.9,3.33,4.39
2024-04-19 19:02:15,19.7,9.84,5.49,4.40
2024-04-19 19:02:30,126,65.1,29.6,31.5
2024-04-19 19:02:45,795,461,172,162
2024-04-19 19:03:00,906,523,188,195
