"Time","Total","Peers","Orderers"
2024-04-19 19:15:00,0.269,0.264,0.00522
2024-04-19 19:15:15,0.0964,0.0899,0.00649
2024-04-19 19:15:30,0.0964,0.0899,0.00649
2024-04-19 19:15:45,0.123,0.116,0.00670
2024-04-19 19:16:00,0.123,0.116,0.00670
2024-04-19 19:16:15,0.169,0.159,0.0104
2024-04-19 19:16:30,0.169,0.159,0.0104
2024-04-19 19:16:45,0.196,0.186,0.0106
2024-04-19 19:17:00,0.196,0.186,0.0106
2024-04-19 19:17:15,0.245,0.231,0.0142
2024-04-19 19:17:30,0.245,0.231,0.0142
2024-04-19 19:17:45,0.272,0.258,0.0144
2024-04-19 19:18:00,0.272,0.258,0.0144
