"Time","All machines","machine69","machine70","machine77"
2024-04-19 19:15:00,141,49.1,5.07,0
2024-04-19 19:15:15,185,90.4,3.04,0
2024-04-19 19:15:30,185,91.1,5.02,0
2024-04-19 19:15:45,110,99.9,3.02,0
2024-04-19 19:16:00,26.6,19.3,3.05,0
2024-04-19 19:16:15,23.4,18.3,2.10,0
2024-04-19 19:16:30,11.7,8.56,4.08,0
2024-04-19 19:16:45,7.58,7.54,6.08,5.25
2024-04-19 19:17:00,5.31,4.30,8.07,5.40
2024-04-19 19:17:15,5.30,5.35,7.15,5.24
2024-04-19 19:17:30,6.32,4.32,5.18,5.30
2024-04-19 19:17:45,4.26,3.23,3.15,0
2024-04-19 19:18:00,9.56,7.22,1.01,0
