"Time","Total","Peers","Orderers"
2024-04-19 19:35:00,0.000866,0.000439,0.000427
2024-04-19 19:35:15,0.000866,0.000439,0.000427
2024-04-19 19:35:30,0.0117,0.0105,0.00121
2024-04-19 19:35:45,0.0117,0.0105,0.00121
2024-04-19 19:36:00,0.0170,0.0156,0.00135
2024-04-19 19:36:15,0.0170,0.0156,0.00135
2024-04-19 19:36:30,0.0390,0.0360,0.00300
2024-04-19 19:36:45,0.0390,0.0360,0.00300
2024-04-19 19:37:00,0.0443,0.0412,0.00314
2024-04-19 19:37:15,0.0443,0.0412,0.00314
2024-04-19 19:37:30,0.0666,0.0617,0.00490
2024-04-19 19:37:45,0.0666,0.0617,0.00490
2024-04-19 19:38:00,0.0719,0.0668,0.00504
2024-04-19 19:38:15,0.0719,0.0668,0.00504
2024-04-19 19:38:30,0.0935,0.0867,0.00680
2024-04-19 19:38:45,0.0935,0.0867,0.00680
2024-04-19 19:39:00,0.0988,0.0919,0.00694
