"Time","machine69","machine70","All Machines","machine77"
2024-04-19 19:35:00,0.00265,0.00148,0.00271,0.000645
2024-04-19 19:35:15,0.00265,0.00148,0.00271,0.000645
2024-04-19 19:35:30,0.0298,0.00148,0.0366,0.0210
2024-04-19 19:35:45,0.0298,0.00148,0.0366,0.0210
2024-04-19 19:36:00,0.0298,0.0345,0.0531,0.0210
2024-04-19 19:36:15,0.0298,0.0345,0.0531,0.0210
2024-04-19 19:36:30,0.0932,0.0345,0.122,0.0584
2024-04-19 19:36:45,0.0932,0.0345,0.122,0.0584
2024-04-19 19:37:00,0.0932,0.0676,0.139,0.0584
2024-04-19 19:37:15,0.0932,0.0676,0.139,0.0584
2024-04-19 19:37:30,0.157,0.0676,0.208,0.0960
2024-04-19 19:37:45,0.157,0.0676,0.208,0.0960
2024-04-19 19:38:00,0.157,0.101,0.225,0.0960
2024-04-19 19:38:15,0.157,0.101,0.225,0.0960
2024-04-19 19:38:30,0.218,0.101,0.293,0.134
2024-04-19 19:38:45,0.218,0.101,0.293,0.134
2024-04-19 19:39:00,0.218,0.134,0.309,0.134
