"Time","All machines","machine69","machine70","machine77"
2024-04-19 19:35:00,6540,6599,0,0
2024-04-19 19:35:15,6655,6601,0,0
2024-04-19 19:35:30,3262,3352,0,0
2024-04-19 19:35:45,27.2,27.1,0,0
2024-04-19 19:36:00,22.8,22.8,0,0
2024-04-19 19:36:15,6.49,6.50,0,0
2024-04-19 19:36:30,1.08,1.12,0,0
2024-04-19 19:36:45,1.07,1.10,0,0
2024-04-19 19:37:00,94.6,90.0,0,0
2024-04-19 19:37:15,149,151,0,0
2024-04-19 19:37:30,319,319,0,0
2024-04-19 19:37:45,577,580,0,0
2024-04-19 19:38:00,641,638,0,0
2024-04-19 19:38:15,784,817,0,0
2024-04-19 19:38:30,961,942,0,0
2024-04-19 19:38:45,1003,1003,0,0
2024-04-19 19:39:00,1342,1317,0,0
