"Time","All machines","machine69","machine70","machine77"
2024-04-19 19:35:00,659189009,426296640,221251774,11640890
2024-04-19 19:35:15,659196233,426297755,221253092,11644522
2024-04-19 19:35:30,659201767,426299382,221254216,11648408
2024-04-19 19:35:45,659209109,426300597,221255631,11652304
2024-04-19 19:36:00,659215056,426301961,221256975,11655908
2024-04-19 19:36:15,659221180,426303137,221258079,11659778
2024-04-19 19:36:30,476535946,243613240,221259300,11663423
2024-04-19 19:36:45,476543025,243614575,221260789,11667410
2024-04-19 19:37:00,476548875,243615902,221261962,11670993
2024-04-19 19:37:15,476555172,243617092,221263217,11674850
2024-04-19 19:37:30,476561746,243618406,221264260,11678496
2024-04-19 19:37:45,476567466,243619735,221265435,11682224
2024-04-19 19:38:00,476574359,243621187,221267054,11686114
2024-04-19 19:38:15,476580948,243622268,221268244,11689858
2024-04-19 19:38:30,476587614,243623767,221269667,11693800
2024-04-19 19:38:45,476593072,243625004,221270845,11697546
2024-04-19 19:39:00,476597085,243626033,221271418,11699646
