"Time","Total","Peers","Orderers","Ledgers"
2024-04-19 19:35:00,0,0,0,0
2024-04-19 19:35:15,0,0,0,0
2024-04-19 19:35:30,0,0,0,0
2024-04-19 19:35:45,1,0,1,0
2024-04-19 19:36:00,2,1,1,0
2024-04-19 19:36:15,3,0,0,3
2024-04-19 19:36:30,0,0,0,0
2024-04-19 19:36:45,0,0,0,0
2024-04-19 19:37:00,2,0,2,0
2024-04-19 19:37:15,0,0,0,0
2024-04-19 19:37:30,1,0,1,0
2024-04-19 19:37:45,2,0,1,1
2024-04-19 19:38:00,0,0,0,0
2024-04-19 19:38:15,0,0,0,0
2024-04-19 19:38:30,20,6,13,1
2024-04-19 19:38:45,3,1,0,2
2024-04-19 19:39:00,0,0,0,0
