"Time","orderers","peers","Total"
2024-04-19 19:35:00,0.459,1.14,1.59
2024-04-19 19:35:15,0.694,1.17,1.86
2024-04-19 19:35:30,0.863,1.24,2.10
2024-04-19 19:35:45,0.873,1.31,2.18
2024-04-19 19:36:00,1.05,1.37,2.42
2024-04-19 19:36:15,1.24,1.42,2.66
2024-04-19 19:36:30,1.03,1.41,2.44
2024-04-19 19:36:45,1.23,1.47,2.69
2024-04-19 19:37:00,1.44,1.53,2.97
2024-04-19 19:37:15,1.40,1.57,2.97
2024-04-19 19:37:30,1.56,1.62,3.19
2024-04-19 19:37:45,1.77,1.68,3.45
2024-04-19 19:38:00,1.65,1.73,3.37
2024-04-19 19:38:15,1.82,1.78,3.60
2024-04-19 19:38:30,1.97,1.82,3.79
2024-04-19 19:38:45,1.87,1.87,3.74
2024-04-19 19:39:00,1.98,1.91,3.90
